HAP,SUR,SAD,DIS,ANG,FEA
1.55,2.1,1.9,3.9,4.32,1.81
1.67,1.7,1.97,4.1,4.6,1.77
1.3,1.7,1.7,4.43,4.3,1.73
1.42,2.13,3.55,4.19,2.65,3.03
1.29,2.13,2.26,4.74,3.32,2.87
1.32,1.94,1.94,4.68,2.52,2.55
1.32,3.65,4.16,2.87,1.97,4.26
1.29,3.16,3.42,4.06,1.94,3.87
1.39,4.29,3,3.74,2.32,4.13
2.06,4.29,2.16,2.1,1.61,2.42
4.39,2.29,1.35,1.23,1.16,1.26
4.77,2.45,1.29,1.23,1.26,1.23
4.61,2.19,1.48,1.32,1.29,1.39
4.03,1.42,1.68,1.13,1.19,1.29
3.03,2.06,2.16,1.84,1.94,1.87
2.84,2.13,1.94,1.68,1.77,1.87
3.06,2.29,1.84,1.71,1.77,1.84
1.39,1.68,3.97,3.68,2.19,3.61
1.26,1.77,4.13,3.1,2.4,2.74
1.68,1.74,3.71,3.16,2.42,3.03
2.87,4.68,1.55,1.52,1.52,1.65
3,4.35,1.94,1.55,1.68,1.58
2.94,4.74,1.97,1.71,1.68,2.03
