HAP,SUR,SAD,DIS,ANG,FEA
1.39,1.87,3,3.81,3.84,2.29
1.68,2.1,3.32,3.9,4.1,2.71
1.39,1.84,3.1,3.94,3.52,2.35
1.45,1.6,3.06,4.48,3.27,2.77
1.16,2.1,4.03,4.42,3.52,2.87
1.1,2.32,3.35,4.52,3.32,2.74
1.16,1.97,3,4.35,3.06,2.55
1.26,4.19,3.03,4.45,2.94,4.1
1.19,3.03,3.29,4.16,3.52,3.45
1.23,2.74,3.16,4.29,3.55,3.39
4.42,1.42,1.55,1.45,1.42,1.45
4.48,1.58,1.68,1.55,1.65,1.58
4.29,1.48,1.45,1.42,1.45,1.32
1.84,3.71,2.29,2.32,2.35,2.13
1.9,2.52,2.81,2.32,2.39,2.32
2.1,3.61,2.13,2.1,2.16,2.06
1.19,1.83,4.35,3.77,2.87,3.42
1.26,1.9,4.26,3.61,2.87,3.35
1.39,1.94,4.42,3.68,2.77,3.81
1.77,4.71,2.55,2.58,2.42,2.87
1.84,4.84,1.8,1.9,2.16,2.19
1.77,4.81,1.77,2,2,2.52
