HAP,SUR,SAD,DIS,ANG,FEA
1.39,1.57,2.03,3.77,4.58,1.68
1.45,1.68,2.84,3.87,4.06,1.9
1.42,1.55,2.13,3.58,4.16,1.77
1.26,1.81,2.1,4.71,3.52,2.26
1.39,1.94,1.87,4.58,3.61,1.94
2.52,2.61,2.58,2.9,1.97,2.87
1.5,3.67,2.97,3.77,2.83,3.8
1.68,3.61,2.84,3.84,2.9,3.19
4.9,1.26,1.13,1.03,1.1,1.1
4.87,1.43,1.2,1.07,1.03,1.07
4.61,1.39,1.32,1.1,1.23,1.19
5,1.26,1.13,1.1,1.1,1.06
2.87,2.1,2.52,1.97,1.97,2.06
2.87,1.58,2.42,1.77,1.84,1.77
2.5,1.7,2.1,1.73,1.5,1.53
1.42,1.55,4,3.26,2.39,3.03
1.23,1.45,4.39,3.19,2.61,2.71
1.32,1.87,4,3.77,2.6,3.19
1.35,1.61,4.13,3.81,2.1,3.1
2.13,4.97,1.55,1.45,1.65,2.1
2.16,4.97,1.9,1.81,1.74,3.1
2.16,4.94,1.84,1.65,1.71,2.32
