HAP,SUR,SAD,DIS,ANG,FEA
1.39,1.73,1.87,3.19,4.58,1.68
1.52,1.74,2.58,3.65,4.58,1.61
1.48,2.19,2.48,3.42,4.48,2.16
1.35,2.23,2.19,4.55,3.39,2.58
1.35,1.97,2.32,4.39,4.03,2.35
1.39,1.67,2.45,4.06,4.29,2.1
1.52,4.45,2.26,3.03,3.16,2.9
1.61,3.97,2.39,3.71,3.19,2.74
1.55,4,2.42,3.55,3.58,3.06
4.45,1.1,1.29,1.26,1.19,1.19
4.19,1.65,1.48,1.32,1.29,1.35
2.23,1.84,2.06,2.35,2.87,1.87
2.32,1.68,2.23,2.35,2.68,1.84
2.03,1.68,2.16,2.39,2.81,1.81
1.48,1.84,4.23,2.74,2.55,2.29
1.42,1.74,4.26,3.06,2.52,2.48
1.48,1.77,3.9,3.29,2.81,2.42
2,4.68,1.77,1.65,1.81,2.03
2.1,4.58,1.84,2.03,2.19,2.1
2.42,4.74,1.84,1.87,1.94,2.06
