HAP,SUR,SAD,DIS,ANG,FEA
1.26,1.48,1.87,4,4.68,1.55
1.26,1.52,3.32,4.52,4.13,2.74
1.26,2.03,3.03,4.61,4.35,2.97
1.26,2.26,2.48,4.61,3.68,2.58
1.32,2.43,3.1,4.39,2.26,3.1
1.61,2.29,2.52,4.71,2.68,3.19
1.23,4.1,4.06,3.26,2.32,4.26
1.35,4.65,3.32,3.97,2.42,4.52
1.42,2.84,3.65,3.29,2.16,4.06
4.52,1.58,1.32,1.26,1.1,1.23
4.32,1.42,1.61,1.52,1.48,1.48
4.65,1.45,1.32,1.29,1.19,1.29
2.9,1.74,2.65,1.9,1.87,1.87
3.48,1.55,2.19,1.55,1.68,1.58
2.97,1.71,2.39,1.61,1.81,1.84
1.65,1.74,4.23,2.74,2.13,2.68
1.39,1.61,4.52,2.71,1.77,2.61
1.26,1.65,4.84,2.52,2.13,2.23
1.84,4.94,2.35,2.52,2,3.29
2.32,4.97,1.65,1.9,1.81,2.26
1.97,4.9,2.23,2.39,2.13,3.03
