HAP,SUR,SAD,DIS,ANG,FEA
1.19,1.61,2.55,3.65,4.45,1.71
1.45,1.67,2.39,3.32,4.52,1.71
1.32,1.61,2.61,3.23,4.48,1.94
1.32,1.58,3.03,4.29,3.65,1.87
1.45,1.81,3.19,4.19,3.16,2.77
1.43,1.77,2.87,3.87,4.33,2.1
1.61,4.1,2.68,3.81,3.16,3.9
1.68,3.74,3.1,3.58,3.19,3.87
1.48,3.39,3.26,3.06,2.71,3.74
4.77,1.42,1.35,1.13,1.13,1.16
4.65,1.29,1.47,1.32,1.23,1.1
4.48,1.48,1.42,1.55,1.32,1.35
2.68,1.61,2.1,2.03,2.19,1.68
2.84,1.87,2.29,2.45,2.65,2.03
2.77,1.84,2,2.23,2.32,2.61
1.52,1.77,4.03,3.03,2.65,2.94
1.29,1.39,3.74,3.23,3,2.29
1.71,1.84,3.16,3.19,3.48,2.58
4.32,3.32,1.48,1.39,1.35,1.39
2.68,4.52,1.45,2.03,1.9,2
2.39,4.48,1.55,1.84,1.97,1.81
