HAP,SUR,SAD,DIS,ANG,FEA
2.55,1.81,2.16,1.94,2.16,1.94
2.03,1.61,2.29,2.35,2.71,1.87
1.68,1.84,3,3.65,3.17,2.58
2.67,1.77,2.67,3.1,2.3,2.21
2.45,1.52,1.94,2.61,2.16,1.65
1.55,3.65,3.61,2.71,1.84,3.87
2.29,3.84,2.29,2.32,1.94,2.29
1.9,4.52,2.03,1.87,1.87,2.61
4.29,1.45,1.55,1.26,1.39,1.23
4.39,2.1,1.42,1.26,1.32,1.23
4.19,1.84,1.45,1.35,1.42,1.39
3.03,1.77,2.32,1.77,1.74,1.68
3.29,1.84,2.23,1.68,1.68,1.71
3.19,1.71,2.26,1.74,1.87,1.71
2,1.67,3.77,1.77,1.77,2.29
2.48,1.81,2.68,1.9,1.97,1.84
2.03,1.94,3.48,2.16,1.87,2.77
2.68,4.94,1.65,1.45,1.48,1.77
2.9,4.8,1.53,1.37,1.43,1.57
2.65,4.94,1.77,1.52,1.65,1.9
