HAP,SUR,SAD,DIS,ANG,FEA
1.42,1.77,3.19,4,4.06,2.58
1.39,1.74,2.58,3.48,4.13,1.94
1.55,1.77,2.16,3.32,4.16,1.94
1.35,2.19,1.81,4.81,3.16,2.39
1.55,2.32,2.39,4.65,3.23,2.32
1.35,1.9,2.39,4.55,3.1,2.87
1.42,3.29,3.06,4.16,2.52,3.45
1.45,3.13,2.77,4.39,2.32,3.1
1.35,3.35,3.06,4.19,2.39,3.42
4.32,1.26,1.52,1.13,1.13,1.26
4.35,1.13,1.65,1.26,1.13,1.55
4.61,1.52,1.68,1.32,1.29,1.45
2.84,1.87,2.58,1.87,1.84,1.84
3.06,1.52,2.32,1.71,1.84,1.68
2.97,1.42,1.9,1.52,1.61,1.32
1.68,1.45,4.1,2.23,1.74,2.29
1.48,1.45,4.23,2.52,1.84,2.48
1.61,1.55,3.87,3.03,2.35,2.48
1.65,4.61,2.77,2.87,2.1,3.74
2.03,4.58,2.03,1.94,1.87,2.81
1.77,4.77,2.52,2.13,2.03,3.32
