HAP,SUR,SAD,DIS,ANG,FEA
1.39,1.71,3.23,3.9,4.16,2.19
1.45,1.58,2.35,3.1,4.23,1.81
1.58,1.74,2.81,3.1,3.61,2.03
1.37,2.3,2.93,4.2,2.8,3.33
1.45,1.77,3.26,4.32,2.84,2.77
1.35,1.52,3.23,4.39,3.39,2.84
1.42,2.16,3.45,2.48,2.37,3.03
1.74,2.32,3.16,2.48,2.42,2.68
1.77,2.55,3.26,2.45,2,3.06
3.42,1.61,2.52,1.55,1.55,1.61
3.84,1.52,1.97,1.45,1.42,1.61
4.13,1.42,1.81,1.32,1.26,1.55
2.32,1.97,2.29,1.97,2.06,1.87
2.1,1.68,2.35,1.9,2.23,1.87
2,1.71,2.42,2.35,2.26,2.06
1.35,1.58,3.65,3.55,3,2.32
1.52,1.55,3.84,3.55,2.61,2.58
1.35,1.35,3.55,3.06,2.48,2.26
2.52,3.61,2.29,1.94,1.74,2.26
1.84,4.26,2.65,2.13,1.77,2.61
1.97,4.45,2.65,1.81,1.9,2.42
