HAP,SUR,SAD,DIS,ANG,FEA
1.19,1.55,2.16,2.84,4.74,1.39
1.68,1.45,2.26,2.9,4.13,1.61
1.55,1.68,2.32,3.16,4.77,1.87
1.35,2.45,2.9,4.81,2.65,3.32
1.13,2.37,2.13,4.63,3.03,3
1.23,2.61,3,4.65,2.74,3.68
1.23,3.16,4.26,3.26,2.13,4.03
1.26,3.74,4.19,3.42,2.16,4.26
1.29,3.48,3.52,3.42,2.03,3.35
1.29,4.52,3.13,3.45,2.55,4.19
4.9,1.29,1.39,1.29,1.32,1.35
4.87,1.32,1.32,1.13,1.19,1.16
2.71,1.45,2.97,2,1.9,1.94
2.73,1.87,2.67,2,1.97,2
3.03,1.74,2.45,1.9,2,1.77
1.45,1.52,4.61,2.13,1.55,2.39
1.65,1.77,4.26,2.61,1.94,2.77
1.55,1.35,4.32,2.74,1.71,2.55
2.48,4.87,1.55,1.58,1.65,1.81
2.74,4.45,1.48,1.42,1.39,1.68
2.35,4.87,1.81,1.71,1.81,2.29
4.84,1.35,1.42,1.23,1.23,1.23
