HAP,SUR,SAD,DIS,ANG,FEA
1.55,2.1,1.9,3.9,4.32,1.81
1.67,1.7,1.97,4.1,4.6,1.77
1.3,1.7,1.7,4.43,4.3,1.73
1.42,2.13,3.55,4.19,2.65,3.03
1.29,2.13,2.26,4.74,3.32,2.87
1.32,1.94,1.94,4.68,2.52,2.55
1.32,3.65,4.16,2.87,1.97,4.26
1.29,3.16,3.42,4.06,1.94,3.87
1.39,4.29,3,3.74,2.32,4.13
2.06,4.29,2.16,2.1,1.61,2.42
4.39,2.29,1.35,1.23,1.16,1.26
4.77,2.45,1.29,1.23,1.26,1.23
4.61,2.19,1.48,1.32,1.29,1.39
4.03,1.42,1.68,1.13,1.19,1.29
3.03,2.06,2.16,1.84,1.94,1.87
2.84,2.13,1.94,1.68,1.77,1.87
3.06,2.29,1.84,1.71,1.77,1.84
1.39,1.68,3.97,3.68,2.19,3.61
1.26,1.77,4.13,3.1,2.4,2.74
1.68,1.74,3.71,3.16,2.42,3.03
2.87,4.68,1.55,1.52,1.52,1.65
3,4.35,1.94,1.55,1.68,1.58
2.94,4.74,1.97,1.71,1.68,2.03
1.39,1.87,3,3.81,3.84,2.29
1.68,2.1,3.32,3.9,4.1,2.71
1.39,1.84,3.1,3.94,3.52,2.35
1.45,1.6,3.06,4.48,3.27,2.77
1.16,2.1,4.03,4.42,3.52,2.87
1.1,2.32,3.35,4.52,3.32,2.74
1.16,1.97,3,4.35,3.06,2.55
1.26,4.19,3.03,4.45,2.94,4.1
1.19,3.03,3.29,4.16,3.52,3.45
1.23,2.74,3.16,4.29,3.55,3.39
4.42,1.42,1.55,1.45,1.42,1.45
4.48,1.58,1.68,1.55,1.65,1.58
4.29,1.48,1.45,1.42,1.45,1.32
1.84,3.71,2.29,2.32,2.35,2.13
1.9,2.52,2.81,2.32,2.39,2.32
2.1,3.61,2.13,2.1,2.16,2.06
1.19,1.83,4.35,3.77,2.87,3.42
1.26,1.9,4.26,3.61,2.87,3.35
1.39,1.94,4.42,3.68,2.77,3.81
1.77,4.71,2.55,2.58,2.42,2.87
1.84,4.84,1.8,1.9,2.16,2.19
1.77,4.81,1.77,2,2,2.52
1.39,1.57,2.03,3.77,4.58,1.68
1.45,1.68,2.84,3.87,4.06,1.9
1.42,1.55,2.13,3.58,4.16,1.77
1.26,1.81,2.1,4.71,3.52,2.26
1.39,1.94,1.87,4.58,3.61,1.94
2.52,2.61,2.58,2.9,1.97,2.87
1.5,3.67,2.97,3.77,2.83,3.8
1.68,3.61,2.84,3.84,2.9,3.19
4.9,1.26,1.13,1.03,1.1,1.1
4.87,1.43,1.2,1.07,1.03,1.07
4.61,1.39,1.32,1.1,1.23,1.19
5,1.26,1.13,1.1,1.1,1.06
2.87,2.1,2.52,1.97,1.97,2.06
2.87,1.58,2.42,1.77,1.84,1.77
2.5,1.7,2.1,1.73,1.5,1.53
1.42,1.55,4,3.26,2.39,3.03
1.23,1.45,4.39,3.19,2.61,2.71
1.32,1.87,4,3.77,2.6,3.19
1.35,1.61,4.13,3.81,2.1,3.1
2.13,4.97,1.55,1.45,1.65,2.1
2.16,4.97,1.9,1.81,1.74,3.1
2.16,4.94,1.84,1.65,1.71,2.32
1.39,1.73,1.87,3.19,4.58,1.68
1.52,1.74,2.58,3.65,4.58,1.61
1.48,2.19,2.48,3.42,4.48,2.16
1.35,2.23,2.19,4.55,3.39,2.58
1.35,1.97,2.32,4.39,4.03,2.35
